Length (ft),Length (in),Total Length (ft),Gender,Receipt Amount,Date Caught,Time of Day,Location Caught,Weight (lbs),Species,SFWMDPyMo #
9,3,9.25,Female,$175.00,7/15/2017,4:20,L-28T,32.00,Burmese,247
8,8,8.67,Female,$175.00,7/15/2017,5:00,L-28T,16.00,Burmese,248
5,7,5.58,Male,$100.00,7/15/2017,9:00,L-28T,6.00,Burmese,249
8,6,8.50,Female,$175.00,7/10/2017,22:45,L-28T,18.00,Burmese,236
6,9,6.75,Female,$125.00,7/13/2017,0:37,L-28T,7.00,Burmese,241
5,7,5.58,Male,$100.00,7/13/2017,22:50,L-28T,6.00,Burmese,242
2,3,2.25,Male,$0.00,7/15/2017,22:10,L-28T,0.29,Burmese,252
10,8,10.67,Female,$225.00,7/16/2017,2:05,L-28T,57.00,Burmese,253
8,0,8.00,Male,$150.00,7/16/2017,1:45,L-28T,25.00,Burmese,254
8,0,8.00,Male,$150.00,7/16/2017,21:45,L-31N,10.00,Burmese,255
2,4,2.33,Male,$50.00,7/13/2017,22:00,L-28T,0.50,Burmese,243
7,9,7.75,Female,$150.00,7/16/2017,0:00,Rocky Glades,12.00,Burmese,256
6,4,6.33,Female,$100.00,7/15/2017,23:58,L-28T,8.00,Burmese,250
10,6,10.50,Female,$225.00,7/13/2017,2:50,L-30,28.00,Burmese,244
9,6,9.50,Male,$200.00,7/13/2017,0:35,L-29,22.00,Burmese,245
8,7,8.58,Male,$175.00,7/17/2017,1:00,L-31N,13.00,Burmese,258
3,0,3.00,Male,$50.00,7/17/2017,22:00,C-111E,1.00,Burmese,259
2,2.25,2.19,Male,$50.00,7/17/2017,0:00,Rocky Glades,0.25,Burmese,260
7,9,7.75,Female,$150.00,7/18/2017,22:23,C-27,15.00,Burmese,262
8,3,8.25,Female,$150.00,7/18/2017,22:00,C-27,16.00,Burmese,263
6,7,6.58,Female,$125.00,7/18/2017,22:48,L-28T,8.00,Burmese,264
1,10,1.83,Male,$50.00,7/18/2017,22:10,L-28T,1.00,Burmese,265
1,11,1.92,Female,$50.00,7/18/2017,22:21,L-28T,1.00,Burmese,266
2,5,2.42,Male,$50.00,7/18/2017,23:00,L-28T,1.00,Burmese,267
8,7,8.58,Female,$175.00,7/19/2017,2:07,L-28T,16.00,Burmese,269
8,2,8.17,Male,$150.00,7/18/2017,21:00,Rocky Glades,18.00,Burmese,268
7,1,7.08,Female,$125.00,7/17/2017,23:20,C-111,10.00,Burmese,261
2,3,2.25,Female,N/A,7/20/2018,22:26,L-28T,0.23,Burmese,1244
6,6,6.50,Male,$125.00,7/16/2017,21:00,Rocky Glades,7.00,Burmese,257
7,7,7.58,Male,$150.00,7/20/2017,0:00,Rocky Glades,10.00,Burmese,273
2,6,2.50,Female,$50.00,7/19/2017,23:28,L-28T,1.00,Burmese,270
2,4,2.33,Female,$50.00,7/20/2017,1:20,L-28T,1.00,Burmese,274
2,6,2.50,Male,$50.00,7/20/2017,2:38,L-28T,1.00,Burmese,275
7,0,7.00,Female,$125.00,7/21/2017,23:00,L-31N,14.00,Burmese,285
6,10,6.83,Female,$125.00,7/21/2017,23:10,L-31N,9.00,Burmese,286
11,0,11.00,Female,$225.00,7/20/2017,22:30,L-28T,38.00,Burmese,276
2,3,2.25,Female,$50.00,7/20/2017,22:40,L-28T,1.00,Burmese,277
2,3,2.25,Female,$50.00,7/20/2017,23:05,L-28T,1.00,Burmese,278
2,4,2.33,Male,$50.00,7/20/2017,1:40,L-28T,1.00,Burmese,279
7,6,7.50,Male,$150.00,7/21/2017,16:15,L-28T,8.00,Burmese,287
7,3.5,7.29,Female,$125.00,7/21/2017,22:00,L-33,8.00,Burmese,288
6,7,6.58,Female,$125.00,7/21/2017,22:15,L-33,6.00,Burmese,289
5,6,5.50,Female,$100.00,7/21/2017,22:30,L-33,4.00,Burmese,290
3,9.5,3.79,Female,$50.00,7/21/2017,22:45,L-33,1.00,Burmese,291
4,9,4.75,Female,$75.00,7/21/2017,23:15,L-33,3.00,Burmese,292
2,3,2.25,Male,$50.00,7/20/2017,23:48,L-28T,1.00,Burmese,280
2,5,2.42,Female,$50.00,7/21/2017,0:46,L-28T,1.00,Burmese,293
2,3,2.25,Male,$50.00,7/21/2017,1:07,L-28T,1.00,Burmese,294
2,2.5,2.21,Female,$50.00,7/21/2017,1:20,L-28T,1.00,Burmese,295
2,3,2.25,Female,$50.00,7/21/2017,2:15,L-28T,1.00,Burmese,296
6,0,6.00,Male,$100.00,7/19/2017,21:20,C-111,5.00,Burmese,271
7,7.5,7.63,Male,$150.00,7/20/2017,23:20,C-111,10.00,Burmese,281
6,6,6.50,Male,$125.00,7/20/2017,22:30,C-111,6.00,Burmese,282
8,6,8.50,Male,$175.00,7/21/2017,23:30,C-111,16.00,Burmese,297
5,1,5.08,Female,$75.00,7/10/2017,1:30,L-28T,3.00,Burmese,237
8,4,8.33,Male,$150.00,7/20/2017,3:00,L-28T,12.00,Burmese,283
8,0,8.00,Female,$150.00,7/21/2017,23:00,L-28T,11.00,Burmese,298
7,10,7.83,Male,$150.00,7/22/2017,1:00,L-28T,13.00,Burmese,301
2,4,2.33,Male,$50.00,7/23/2017,1:00,L-28T,1.00,Burmese,305
2,3,2.25,Male,$50.00,7/23/2017,21:30,L-28T,1.00,Burmese,306
2,5,2.42,Female,$50.00,7/23/2017,22:05,L-28T,1.00,Burmese,307
2,3,2.25,Female,$50.00,7/23/2017,23:56,L-28T,1.00,Burmese,308
2,2.5,2.21,Female,$50.00,7/24/2017,0:10,L-28T,1.00,Burmese,316
2,3,2.25,Female,$50.00,7/24/2017,0:48,L-28T,1.00,Burmese,317
2,2,2.17,Male,$50.00,7/23/2017,23:30,C-27,1.00,Burmese,309
2,4,2.33,Female,$50.00,7/21/2017,22:00,L-30,1.00,Burmese,299
2,2,2.17,Female,$50.00,7/21/2017,22:00,L-30,1.00,Burmese,300
2,4,2.33,Male,$50.00,7/22/2017,9:00,L-28,1.00,Burmese,302
5,9,5.75,Male,$100.00,7/22/2017,0:50,Rocky Glades,6.00,Burmese,303
9,6,9.50,Female,$200.00,7/23/2017,22:10,Rocky Glades,24.00,Burmese,310
8,8,8.67,Male,$175.00,7/23/2017,0:10,L-28T,18.00,Burmese,311
8,9,8.75,Female,$175.00,7/23/2017,0:15,L-28T,16.00,Burmese,312
7,1,7.08,Female,$125.00,7/23/2017,0:45,L-28T,12.00,Burmese,313
5,8,5.67,Female,$100.00,7/24/2017,1:10,L-28T,6.00,Burmese,318
9,2,9.17,Male,$175.00,7/24/2017,3:50,Rocky Glades,23.00,Burmese,319
8,2,8.17,Female,$150.00,7/24/2017,5:30,Frog Pond,16.00,Burmese,320
2,5,2.42,Male,$50.00,7/24/2017,1:40,L-28T,1.00,Burmese,315
